MusterCallsDate,MobilizatonSymbol,Countycode,RegistrationAddress,RecallUnit
20211021,忠義甲字941001,64000,高雄市左營區介壽路10號,莊強營區
20211022,博愛甲字943010,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20211022,博愛甲字953021,10020,嘉義市東區民權路295號,民權營區
20211022,博愛甲字953022,10020,嘉義市東區民權路295號,民權營區
20211023,博愛甲字231305,65000,新北市淡水區中正路二段53號,忠莊營區
20211023,博愛甲字232400,65000,新北市淡水區中正路二段53號,忠莊營區
20211023,博愛甲字251206,66000,臺中市烏日區中山路三段502號,成功嶺營區
20211023,博愛甲字243000,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20211023,博愛甲字243100,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20211023,精誠甲字251001,10010,嘉義縣大林鎮中坑里沙崙19號,中坑營區
20211023,精誠甲字251008,10010,嘉義縣大林鎮中坑里沙崙19號,中坑營區
20211023,精誠甲字251009,10010,嘉義縣大林鎮中坑里沙崙19號,中坑營區
