MusterCallsDate,MobilizatonSymbol,Countycode,RegistrationAddress,RecallUnit 
2021-04-22,博愛甲字932004,10002,宜蘭縣宜蘭市金六結路236號,軍功營區,
2021-04-23,忠貞甲字932013,10018,新竹市東區建功一路55號,建功營區,
2021-04-23,博愛甲字952022,10008,南投縣南投市民族路512號,明德營區,
2021-04-23,精誠甲字943022,64000,高雄市鳳山區鳳頂路1000號,金湯營區,
2021-04-24,忠信甲字120101,10015,花蓮市新興路80號,南美崙營區,
2021-04-24,仁愛甲字150200,10010,嘉義縣水上鄉榮典路1號,嘉義基地,
2021-04-24,精誠甲字231505,10004,新竹縣湖口鄉八德路3段11巷12號,長安營區,
2021-04-24,精誠甲字241004,64000,高雄市鳳山區鳳頂路1000號,金湯營區,
2021-04-24,精誠甲字250309,66000,臺中市烏日區學田路719號,成功嶺營區,
2021-04-24,忠貞甲字230203,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-04-24,博愛甲字221103,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-04-24,博愛甲字222300,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-04-24,博愛甲字241207,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-04-24,博愛甲字251405,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-04-26,博愛甲字952023,10008,南投縣南投市民族路512號,明德營區,
2021-04-27,仁愛甲字942009,67000,臺南市新化區五甲勢120號,新化營區,
2021-04-28,精誠甲字923011,10015,花蓮縣吉安鄉中正路2段306號,南埔營區,
2021-04-28,精誠甲字953036,10008,南投縣埔里鎮蜈蚣里鯉魚路55號,鯉魚潭營區,
2021-04-30,博愛甲字953012,10008,南投縣南投市民族路512號,明德營區,
2021-04-30,博愛甲字953704,10008,南投縣南投市民族路512號,明德營區,
2021-05-03,博愛甲字256600,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-05-03,博愛甲字226100,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-05-04,博愛甲字922009,10014,臺東縣台東市豐年里中興路三段69巷100號,豐年營區,
2021-05-04,博愛甲字922011,10014,臺東縣台東市豐年里中興路三段69巷100號,豐年營區,
2021-05-04,博愛甲字932021,68000,桃園市桃園區介壽路322號,介壽營區,
2021-05-04,仁愛甲字921004,10014,臺東縣臺東市志航路三段三號,志航基地,
2021-05-05,仁愛甲字922002,10014,臺東縣臺東市志航路三段三號,志航基地,
2021-05-05,精誠甲字943036,67000,臺南市新營區中營里中山路1號,新營火車站,
2021-05-05,博愛甲字932022,68000,桃園市桃園區介壽路322號,介壽營區,
2021-05-05,博愛甲字923008,10014,臺東縣台東市豐年里中興路三段69巷100號,豐年營區,
2021-05-05,博愛甲字242100,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-05-05,博愛甲字242200,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-05-05,博愛甲字242300,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-05-06,仁愛甲字921005,10014,臺東縣臺東市志航路三段三號,志航基地,
2021-05-07,精誠甲字932018,10005,苗栗縣頭份鎮斗煥里1991號,斗煥坪營區,
2021-05-08,精誠甲字240907,64000,高雄市鳳山區鳳頂路1000號,金湯營區,
2021-05-08,精誠甲字251002,10010,嘉義縣大林鎮中坑里沙崙19號,中坑營區,
2021-05-08,精誠甲字230306,10005,苗栗縣頭份鎮斗煥里1991號,斗煥坪營區,
2021-05-08,精誠甲字230103,10002,宜蘭縣宜蘭市建軍路46號,金六結營區,
2021-05-08,大業甲字240301,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區,
2021-05-08,大業甲字240106,64000,高雄市左營區世運大道3號,南勝利營區,
2021-05-08,大業甲字240309,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區,
2021-05-08,博愛甲字251407,66000,臺中市烏日區里中山路三段502號,成功嶺營區,
2021-05-08,博愛甲字221107,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-05-08,博愛甲字222100,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-05-08,博愛甲字130400,65000,新北市土城區仁愛路23號,仁愛營區,
2021-05-08,忠貞甲字230700,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-05-08,忠貞甲字250100,66000,臺中市大雅區中清路五段2號,硬漢營區,
2021-05-08,忠貞甲字230300,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-05-10,博愛甲字942020,10013,屏東縣屏東市建國路239號,大東營區,
2021-05-10,博愛甲字942022,10013,屏東縣屏東市建國路239號,大東營區,
2021-05-10,博愛甲字942023,10013,屏東縣屏東市建國路239號,大東營區,
2021-05-11,博愛甲字943014,10013,屏東縣屏東市建國路239號,大東營區,
2021-05-11,仁愛甲字942005,64000,高雄市田寮區南安村崗安路10066號,虎嘯基地,
2021-05-11,仁愛甲字933011,65000,新北市泰山區明志路三段354號,神箭基地,
2021-05-11,精誠甲字953031,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-05-12,精誠甲字951002,10010,嘉義縣水上鄉三鎮村三鎮路2之20號,南靖營區,
2021-05-12,精誠甲字923013,10015,花蓮市府前路25號,美崙營區,
2021-05-12,精誠甲字932023,10004,新竹縣湖口鄉勝利路二段358號,湖口四營區,
2021-05-12,博愛甲字943015,10013,屏東縣屏東市建國路239號,大東營區,
2021-05-14,忠貞甲字933002,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-05-15,忠貞甲字130600,10018,新竹市東區建功一路55號,建功營區,
2021-05-15,忠貞甲字230204,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-05-15,博愛甲字211201,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-05-15,博愛甲字211206,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-05-15,博愛甲字211207,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-05-15,博愛甲字231203,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-05-15,博愛甲字251103,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-05-15,精誠甲字250307,66000,臺中市烏日區學田路719號,成功嶺營區,
2021-05-15,精誠甲字250310,66000,臺中市烏日區學田路719號,成功嶺營區,
2021-05-15,精誠甲字231702,10004,新竹縣湖口鄉鳳山村勝利路二段358號,湖口四營區,
2021-05-17,博愛甲字943016,10013,屏東縣屏東市建國路239號,大東營區,
2021-05-18,博愛甲字943012,10013,屏東縣屏東市建國路239號,大東營區,
2021-05-18,忠貞甲字933001,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-05-18,精誠甲字932009,68000,桃園市平鎮區陸光路14巷300號,雙連坡營區,
2021-05-19,博愛甲字943013,10013,屏東縣屏東市建國路239號,大東營區,
2021-05-20,忠貞甲字932001,68000,桃園市龜山區公西里文31街501號,慧敏營區,
2021-05-21,忠貞甲字952004,66000,臺中市大雅區中清路五段2號,硬漢營區,
2021-05-21,精誠甲字953022,66000,臺中市和平區東關路一段岳武巷5號,麗陽營區,
2021-05-22,精誠甲字241006,64000,高雄市鳳山區鳳頂路1000號,金湯營區,
2021-05-22,精誠甲字250104,66000,台中市和平區東關路一段岳武巷5號,麗陽營區,
2021-05-22,精誠甲字231302,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-05-22,博愛甲字251106,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-05-22,博愛甲字231204,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-05-22,博愛甲字211203,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-05-26,仁愛甲字952011,66000,臺中市大雅區中清路五段2號,清泉崗基地,
2021-05-26,仁愛甲字952013,66000,臺中市大雅區中清路五段2號,清泉崗基地,
